№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
61,ADRENALİN-ZDOROVYE,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,5,"ZDOROVYE ƏCZAÇILIQ ŞİRKƏTİ MMC, Ukrayna",1.78,2.14,29.11.2016
62,ADRENALİN-ZDOROVYE,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,10,"ZDOROVYE ƏCZAÇILIQ ŞİRKƏTİ MMC, Ukrayna",2.30,2.76,29.11.2016
63,ADRİBLASTİN TH,DOXORUBICIN HCL,10 mq,İnyeksiya məhlulu üçün liofilizat,Flakon + Ampulda həlledici 5 ml,1,"AKTAVİS İTALİYA SPA, İtaliya",18.74,22.49,29.11.2016
64,ADRİBLASTİN TH,DOXORUBICIN HCL,50 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,1,"AKTAVİS İTALİYA SPA, İtaliya",91.20,107.80,29.11.2016
65,ADRİSİN,ARSENIC ACID + FORMIC ACID + SULFURIC ACID + ARCTIUM LAPPA + ARNICA MONTANA + …,"(15 + 15 + 15 + 15 + 15
+ ...) mq",Tablet,Flakon,50,"BİOLOGİŞE HEİLMİTEL HEL GMBH, Almaniya",9.14,10.97,06.10.2018
66,ADVAGRAF,TACROLIMUS,"0,5 mq",Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",84.38,100.09,29.11.2016
67,ADVAGRAF,TACROLIMUS,1 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",153.20,177.42,29.11.2016
68,ADVAGRAF,TACROLIMUS,3 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",435.16,490.40,29.11.2016
69,ADVAGRAF,TACROLIMUS,5 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",756.31,846.87,29.11.2016
70,ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Emulsiya,Tub 20 q,1,"BAYER HELSKEA MANUFAKTURİNQ SRL, İtaliya",7.94,9.53,29.11.2016
71,ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Məlhəm,Tub 15 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",4.56,5.47,29.11.2016
72,ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Krem,Tub 15 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",4.56,5.47,29.11.2016
73,ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Məlhəm,Tub 50 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",14.75,17.70,29.11.2016
74,AERTAL,ACECLOFENAC,100 mq,Tablet,Blister,20,"GEDEON RİXTER PLC, Macarıstan",6.34,7.61,29.11.2016
75,AERTAL,ACECLOFENAC,100 mq,Tablet,Blister,60,"GEDEON RİXTER PLC, Macarıstan",14.69,17.63,29.11.2016
76,AERTAL,ACECLOFENAC,100 mq,Suspenziya hazırlamaq üçün toz,Paket 3 q,20,"İNDASTRİAS FARMASYUTİKALS ALMİRALL SL, İspaniya",9.94,11.93,09.12.2017
77,AERTAL,ACECLOFENAC,"0,0015 mq",Krem,Tub 60 q,1,"GEDEON RİXTER PLC, Macarıstan",13.76,16.51,29.11.2016
78,AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,10,"ALTAYVİTAMİNİ QSC, Rusiya",0.79,0.95,29.11.2016
79,AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,20,"ALTAYVİTAMİNİ QSC, Rusiya",1.59,1.91,29.11.2016
80,AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,30,"ALTAYVİTAMİNİ QSC, Rusiya",2.38,2.86,29.11.2016
81,AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,40,"ALTAYVİTAMİNİ QSC, Rusiya",3.97,4.76,29.11.2016
82,AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,50,"ALTAYVİTAMİNİ QSC, Rusiya",4.96,5.95,29.11.2016
83,AFALA,AFFINITY PURIFIED ANTIBODY (PROSTATE SPECIFIC ANTIGEN),3 mq,Sorma tablet,Blister,40,"EİŞ MATERİA MEDİKA HOLDİNG MMC, Rusiya",6.81,8.17,29.11.2016
84,AFALA,AFFINITY PURIFIED ANTIBODY (PROSTATE SPECIFIC ANTIGEN),3 mq,Sorma tablet,Blister,100,"EİŞ MATERİA MEDİKA HOLDİNG MMC, Rusiya",11.01,13.21,29.11.2016
85,AFİNİTOR,EVEROLIMUS,5 mq,Tablet,Blister,30,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",3824.21,4252.24,29.11.2016
86,AFİNİTOR,EVEROLIMUS,10 mq,Tablet,Blister,30,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",4063.13,4517.44,29.11.2016
87,AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 20 ml,1,"RİXARD BİTNER AG, Avstriya",7.74,9.29,29.11.2016
88,AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 50 ml,1,"RİXARD BİTNER AG, Avstriya",11.29,13.55,29.11.2016
89,AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 100 ml,1,"RİXARD BİTNER AG, Avstriya",22.39,26.87,29.11.2016
90,AFOBAZOL,FABOMOTIZOLE,10 mq,Tablet,Blister,60,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",9.37,11.24,18.05.2018
91,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",0.55,0.66,29.11.2016
92,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",8.03,9.64,29.11.2016
93,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",10.63,12.76,29.11.2016
94,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",0.64,0.77,29.11.2016
95,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",12.30,14.76,15.07.2017
96,AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",12.54,15.05,29.11.2016
97,AKARVİT,LEVOCARNITINE,100 mq/ml,Məhlul,Ampul 10 ml,10,"MİTİM FARMA SRL, İtaliya",8.74,10.49,29.11.2016
98,AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,14,"AKTAVİS HF, İslandiya",5.14,6.17,29.11.2016
99,AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,14,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",6.68,8.02,29.11.2016
100,AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,28,"AKTAVİS HF, İslandiya",7.05,8.46,29.11.2016
101,AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,28,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",11.96,14.35,29.11.2016
102,AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,14,"AKTAVİS HF, İslandiya",7.63,9.16,29.11.2016
103,AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,14,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",8.25,9.90,29.11.2016
104,AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,28,"AKTAVİS HF, İslandiya",7.86,9.43,29.11.2016
105,AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,28,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",14.35,17.22,29.11.2016
106,AKİTOR,LATANOPROST,50 mkq/ml,Göz üçün damcı,"Flakon 2,5 ml",1,"FARMASELEKT İNTERNEYŞNL BETEİLLİNQİNQS GMBH, Avstriya",12.11,14.53,29.11.2016
107,AKKUPRO,QUINAPRIL,10 mq,Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",7.23,8.68,29.11.2016
108,AKKUPRO,QUINAPRIL,20 mq,Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",10.80,12.96,29.11.2016
109,AKKUZİD,QUINAPRIL + HYDROCHLOROTHIAZIDE,"(20 + 12,5) mq",Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",8.52,10.22,29.11.2016
110,AKLASTA,ZOLEDRONIC ACID,"0,05 mq/ml",İnfuziya üçün məhlul,Flakon 100 ml,1,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",243.45,277.60,09.12.2017
111,AKLİN,CLINDAMYCIN,150 mq,Kapsul,Blister,50,"NOVELL FARMASYUTİKAL LABORATORİES, İndoneziya",11.46,13.75,29.11.2016
112,AKRİDERM QK,BETAMETHASONE DIPROPIONATE + GENTAMICIN SULFATE + CLOTRIMAZOLE,"(0,64 + 1 + 10) mq/q",Krem,Tub 15 q,1,"AKRİXİN ASC, Rusiya",5.20,6.24,29.11.2016
113,AKRİDERM SK,BETAMETHASONE DIPROPIONATE + SALICYLIC ACID,"(0,5 + 30) mq",Məlhəm,Tub 15 q,1,"AKRİXİN ASC, Rusiya",2.47,2.96,29.11.2016
114,AKRİDERM SK,BETAMETHASONE DIPROPIONATE + SALICYLIC ACID,"(0,5 + 30) mq",Məlhəm,Tub 30 q,1,"AKRİXİN ASC, Rusiya",2.62,3.14,29.11.2016
115,AKSASTROL,ANASTROZOLE,1 mq,Tablet,Blister,28,"REMEDİKA LTD, Kipr",33.03,39.64,29.11.2016
116,AKSEN FORT,NAPROXEN SODIUM,550 mq,Tablet,Blister,10,"ALİ RAİF İLAÇ SAN AŞ, Türkiyə",2.55,3.06,29.11.2016
117,AKSSEL EVİLİN FORTE,ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHICONE,"(4 + 4 + 0,4) mq/ml",Suspenziya,Flakon 100 ml,1,"KOTRA FARMA (M) SDN BHD, Malaziya",5.96,7.15,29.11.2016
118,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 4 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",185.14,212.88,29.11.2016
119,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 4 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",185.14,212.88,29.11.2016
120,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 10 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",446.94,503.47,29.11.2016
121,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 10 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",446.94,503.47,29.11.2016
122,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 20 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",895.28,1001.13,29.11.2016
123,AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 20 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",895.28,1001.13,29.11.2016
124,AKT-HİB,VACCINE (HAEMOPHILUS INFLUENZAE TYPE B + TETANUS PROTEIN),(10 + 18-30) mkq,İnyeksiya məhlulu üçün liofilizat,"Flakon + Şprisdə həlledici 0,5 ml",1,"SANOFİ PASTER SA, Fransa",20.23,24.28,29.11.2016
125,AKT-HİB,VACCINE (HAEMOPHILUS INFLUENZAE TYPE B + TETANUS PROTEIN),(10 + 18-30) mkq,İnyeksiya məhlulu üçün liofilizat,"Flakon + Şprisdə həlledici 0,5 ml",10,"SANOFİ PASTER SA, Fransa",185.79,213.60,29.11.2016
126,AKTİFED,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL,"(60 + 2,5) mq",Tablet,Blister,20,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",2.49,2.99,29.11.2016
127,AKTİFED,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL,"(6 + 0,25) mq/ml",Şərbət,Flakon 100 ml,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",2.74,3.29,29.11.2016
128,AKTİHİST,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL + GUAIFENESIN,(6 + 25 + 20) mq/ml,Şərbət,Flakon 100 ml,1,"HOVİD BHD, Malaziya",7.31,8.77,29.11.2016
129,AKTİLİZE,ALTEPLASE,50 mq,İnyeksiya və infuziya məhlulu üçün toz,Flakon + Həlledici 50 ml,1,"BERİNGER İNGELHEİM FARMA GMBH VƏ KO KG, Almaniya",675.69,757.39,29.11.2016
130,AKTİPOL,AMINOBENZOIC ACID,"0,07 mq/ml",Göz üçün damcı,Flakon 5 ml,1,"MOLEKULYAR DİAQNOSTİKA İNSTİTUTU DİAFARM QSC, Rusiya",7.64,9.17,29.11.2016
131,AKTİPOL,AMINOBENZOIC ACID,"0,07 mq/ml",Göz üçün damcı,Flakon 5 ml,50,"MOLEKULYAR DİAQNOSTİKA İNSTİTUTU DİAFARM QSC, Rusiya",346.20,391.65,29.11.2016
132,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.13,0.16,29.11.2016
133,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"MEDİSORB QSC, Rusiya",0.13,0.16,29.11.2016
134,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"EİM BORŞAQOVSKİY KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ İSC, Ukrayna",0.13,0.16,29.11.2016
135,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"İRBİT KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ ASC, Rusiya",0.13,0.16,29.11.2016
136,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,30,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.39,0.47,29.11.2016
137,AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,50,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.64,0.77,29.11.2016
138,AKTOSEF,CEFTRIAXONE SODIUM,500 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"FİLKO FARMA EK, Almaniya",5.39,6.47,29.11.2016
139,AKTOSEF,CEFTRIAXONE SODIUM,500 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"HANKUK KORUS FARM KO LTD, Cənubi Koreya",2.57,3.08,29.11.2016
140,AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"FİLKO FARMA EK, Almaniya",6.24,7.49,29.11.2016
141,AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,"Flakon + Ampulda həlledici 3,5 ml",1,"ESSETİ FARMASYUTİÇİ SRL, İtaliya",4.59,5.51,29.11.2016
